Rule ID,Rule Name,Field,Type,Severity,Enabled,Message,Value
R001,bk_num_not_empty,BK-NUM-ERT,not_empty,error,Yes,Bank number must not be empty,
R002,bk_num_numeric,BK-NUM-ERT,numeric,error,Yes,Bank number must be numeric,
R003,bk_num_length,BK-NUM-ERT,exact_length,error,Yes,Bank number must be exactly 5 digits,5
R004,app_not_empty,APP-ERT,not_empty,error,Yes,Application code must not be empty,
R005,app_numeric,APP-ERT,numeric,error,Yes,Application code must be numeric,
R006,ln_num_not_empty,LN-NUM-ERT,not_empty,error,Yes,Account number must not be empty,
R007,ln_num_length,LN-NUM-ERT,exact_length,error,Yes,Account number must be exactly 18 characters,18
R008,eff_dat_not_empty,EFF-DAT-ERT,not_empty,error,Yes,Effective date must not be empty,
R009,eff_dat_format,EFF-DAT-ERT,date_format,error,Yes,Effective date must be MM/DD/CCYY format,MM/DD/CCYY
R010,trn_cod_not_empty,TRN-COD-ERT,not_empty,error,Yes,Transaction code must not be empty,
R011,trn_cod_numeric,TRN-COD-ERT,numeric,error,Yes,Transaction code must be numeric,
R012,trn_cod_valid,TRN-COD-ERT,valid_values,error,Yes,Transaction code must be 32010,32010
R013,bat_itm_not_empty,BAT-ITM-NUM-ERT,not_empty,error,Yes,Batch item number must not be empty,
R014,bat_itm_numeric,BAT-ITM-NUM-ERT,numeric,error,Yes,Batch item number must be numeric,
R015,trn_cnt_not_empty,TRN-CNT-ERT,not_empty,error,Yes,Transaction count must not be empty,
R016,trn_cnt_numeric,TRN-CNT-ERT,numeric,error,Yes,Transaction count must be numeric,
R017,trn_mor_dta_not_empty,TRN-MOR-DTA-FLG-ERT,not_empty,error,Yes,More data flag must not be empty,
CR001,unique_account,LN-NUM-ERT,cross_row:unique,error,Yes,Account number must be unique across all rows,
CR002,unique_account_batch,LN-NUM-ERT|BAT-ITM-NUM-ERT,cross_row:unique_composite,error,Yes,Account + batch item combination must be unique,
CR003,sequential_batch_items,LN-NUM-ERT>BAT-ITM-NUM-ERT,cross_row:sequential,error,Yes,Batch items must be sequential (1 2 3...) per account,1
CR004,consistent_bank,LN-NUM-ERT>BK-NUM-ERT,cross_row:consistent,error,Yes,Bank number must be the same for all rows with the same account,
CR005,txn_count_matches,LN-NUM-ERT>TRN-CNT-ERT,cross_row:group_count,error,Yes,Transaction count must match actual number of records per account,
